country_name,income_id,gdp_per_capita($),composition_food_organic_waste_percent,composition_glass_percent,composition_metal_percent,composition_other_percent,composition_paper_cardboard_percent,composition_plastic_percent,composition_rubber_leather_percent,composition_wood_percent,composition_yard_garden_green_waste_percent,other_information_information_system_for_solid_waste_management,other_information_national_agency_to_enforce_solid_waste_laws_and_regulations,other_information_national_law_governing_solid_waste_management_in_the_country,other_information_ppp_rules_and_regulations,other_information_summary_of_key_solid_waste_information_made_available_to_the_public,population,special_waste_agricultural_waste_tons_year,special_waste_construction_and_demolition_waste_tons_year,special_waste_e_waste_tons_year,special_waste_hazardous_waste_tons_year,special_waste_industrial_waste_tons_year,special_waste_medical_waste_tons_year,total_msw_total_msw_generated_tons_year,waste_collection_coverage_rural_percent_of_geographic_area,waste_collection_coverage_rural_percent_of_households,waste_collection_coverage_rural_percent_of_population,waste_collection_coverage_rural_percent_of_waste,waste_collection_coverage_total_percent_of_geographic_area,waste_collection_coverage_total_percent_of_households,waste_collection_coverage_total_percent_of_population,waste_collection_coverage_total_percent_of_waste,waste_collection_coverage_urban_percent_of_geographic_area,waste_collection_coverage_urban_percent_of_households,waste_collection_coverage_urban_percent_of_population,waste_collection_coverage_urban_percent_of_waste,waste_treatment_anaerobic_digestion_percent,waste_treatment_compost_percent,waste_treatment_controlled_landfill_percent,waste_treatment_incineration_percent,waste_treatment_landfill_unspecified_percent,waste_treatment_open_dump_percent,waste_treatment_other_percent,waste_treatment_recycling_percent,waste_treatment_sanitary_landfill_landfill_gas_system_percent,waste_treatment_unaccounted_for_percent,waste_treatment_waterways_marine_percent,where_where_is_this_data_measured
Kazakhstan,UMC,"22,703",30,5,3,7,25,25,NA,2.5,NA,No,Yes,Yes,Yes,No,16791424,NA,NA,147000,NA,NA,NA,4659740,NA,NA,25,NA,NA,NA,77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.1,NA,2.92,NA,36.98,NA,Disposal site
Kenya,LMC,"3,330",57,3,1,9,11.3,18.7,NA,NA,NA,NA,NA,Yes,NA,NA,41350152,NA,NA,17350,NA,NA,909182,5595099,NA,NA,NA,NA,NA,NA,40,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,92,NA,NA
Kyrgyz Republic,LMC,"4,805",NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Yes,Yes,Yes,NA,5956900,17900,3600,7200,4771346,NA,NA,1113300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,Disposal Site
Cambodia,LMC,"3,364",66.6,2.6,2,10.4,4,8.6,NA,5.8,NA,No,Yes,Yes,Yes,NA,15270790,NA,NA,14000,NA,NA,147.09,1089000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,NA,NA,NA,NA,NA,NA,NA,17.5,NA,NA,82.5,NA,NA
Kiribati,LMC,"2,250",43.6,5.5,10,9.3,10.9,16.5,4.2,NA,NA,NA,Yes,Yes,No,NA,114395,NA,NA,100,NA,766.5,16.22,35723.8275,NA,NA,NA,NA,NA,NA,54,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
St. Kitts and Nevis,HIC,"25,569",27.2,8.1,8.8,12.2,20.5,23.2,NA,NA,NA,Yes,Yes,Yes,No,Yes,54288,NA,NA,700,NA,NA,NA,32892.14,NA,NA,NA,NA,NA,NA,95,NA,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,Disposal site
"Korea, Rep.",HIC,"42,105",30,2.5,2.6,NA,41,24.3,NA,NA,NA,Yes,Yes,Yes,Yes,NA,51606632,NA,68119600,570635,NA,39810000,NA,20452776,NA,NA,NA,NA,NA,NA,99.92,99.9,NA,NA,NA,NA,NA,1,NA,25,16,NA,NA,58,NA,NA,NA,NA
Kuwait,HIC,"58,810",45,4,2,8,20,20,NA,1,1,No,Yes,Yes,NA,NA,2998083,NA,1149000,67000,203000,7000,33000,1750000,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,Disposal Site
Lao PDR,LMC,"6,544",16.9,9.3,3.7,20.3,2.8,6.1,1.1,38.2,1.2,None,Yes,Yes,Yes,NA,6663967,NA,NA,7500,5200,49500,1200,351900,NA,NA,NA,35,NA,NA,NA,55,NA,NA,NA,60,NA,NA,30,NA,NA,60,NA,10,NA,NA,NA,At disposal site
Lebanon,UMC,"16,967",52.5,3.5,5.5,11,16,11.5,NA,NA,NA,No,Yes,No,No,No,5603279,NA,NA,51000,46000,NA,5568,2040000,NA,NA,99,NA,NA,NA,NA,NA,NA,NA,100,NA,NA,15,48,NA,NA,29,NA,8,NA,NA,NA,Source
